"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"SH.ACS.MONY.Q1.ZS","Quintile: Health","Problems in accessing health care (getting money for treatment) (% of women): Q1 (lowest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.MONY.Q2.ZS","Quintile: Health","Problems in accessing health care (getting money for treatment) (% of women): Q2","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.MONY.Q3.ZS","Quintile: Health","Problems in accessing health care (getting money for treatment) (% of women): Q3","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.MONY.Q4.ZS","Quintile: Health","Problems in accessing health care (getting money for treatment) (% of women): Q4","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.MONY.Q5.ZS","Quintile: Health","Problems in accessing health care (getting money for treatment) (% of women): Q5 (highest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.NOFP.Q1.ZS","Quintile: Health","Problems in accessing health care (concern there may not be a female provider) (% of women): Q1 (lowest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.NOFP.Q2.ZS","Quintile: Health","Problems in accessing health care (concern there may not be a female provider) (% of women): Q2","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.NOFP.Q3.ZS","Quintile: Health","Problems in accessing health care (concern there may not be a female provider) (% of women): Q3","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.NOFP.Q4.ZS","Quintile: Health","Problems in accessing health care (concern there may not be a female provider) (% of women): Q4","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.NOFP.Q5.ZS","Quintile: Health","Problems in accessing health care (concern there may not be a female provider) (% of women): Q5 (highest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PERM.Q1.ZS","Quintile: Health","Problems in accessing health care (getting permission to go for treatment) (% of women): Q1 (lowest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PERM.Q2.ZS","Quintile: Health","Problems in accessing health care (getting permission to go for treatment) (% of women): Q2","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PERM.Q3.ZS","Quintile: Health","Problems in accessing health care (getting permission to go for treatment) (% of women): Q3","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PERM.Q4.ZS","Quintile: Health","Problems in accessing health care (getting permission to go for treatment) (% of women): Q4","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PERM.Q5.ZS","Quintile: Health","Problems in accessing health care (getting permission to go for treatment) (% of women): Q5 (highest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PROB.Q1.ZS","Quintile: Health","Problems in accessing health care (any of the specified problems) (% of women): Q1 (lowest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PROB.Q2.ZS","Quintile: Health","Problems in accessing health care (any of the specified problems) (% of women): Q2","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PROB.Q3.ZS","Quintile: Health","Problems in accessing health care (any of the specified problems) (% of women): Q3","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PROB.Q4.ZS","Quintile: Health","Problems in accessing health care (any of the specified problems) (% of women): Q4","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.PROB.Q5.ZS","Quintile: Health","Problems in accessing health care (any of the specified problems) (% of women): Q5 (highest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.TRAN.Q1.ZS","Quintile: Health","Problems in accessing health care (having to take transport) (% of women): Q1 (lowest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.TRAN.Q2.ZS","Quintile: Health","Problems in accessing health care (having to take transport) (% of women): Q2","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.TRAN.Q3.ZS","Quintile: Health","Problems in accessing health care (having to take transport) (% of women): Q3","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.TRAN.Q4.ZS","Quintile: Health","Problems in accessing health care (having to take transport) (% of women): Q4","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.TRAN.Q5.ZS","Quintile: Health","Problems in accessing health care (having to take transport) (% of women): Q5 (highest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.WHER.Q1.ZS","Quintile: Health","Problems in accessing health care (knowing where to go for treatment) (% of women): Q1 (lowest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.WHER.Q2.ZS","Quintile: Health","Problems in accessing health care (knowing where to go for treatment) (% of women): Q2","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.WHER.Q3.ZS","Quintile: Health","Problems in accessing health care (knowing where to go for treatment) (% of women): Q3","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.WHER.Q4.ZS","Quintile: Health","Problems in accessing health care (knowing where to go for treatment) (% of women): Q4","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.ACS.WHER.Q5.ZS","Quintile: Health","Problems in accessing health care (knowing where to go for treatment) (% of women): Q5 (highest)","","Problems in accessing health care: Percentage of women who report they have big problems in accessing health care for themselves when they are sick, by type of problem. The types of problem specified are; knowing where to go for treatment, getting permission to go for treatment, getting money for treatment, distance to health facility, having to take transport, not wanting to go alone, and concern there may not be a female provider.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.DYN.MORT.Q1","Quintile: Health","Under-5 mortality rate (per 1,000 live births): Q1 (lowest)","","Under-5 mortality rate: Number of deaths to children under age five years per 1000 live births, based on experience during the reference period before the survey. The reference period is ten years preceding the survey for DHS surveys, and the reference period varies for MICS surveys (often three to five years preceding the survey).","","Annual","","","","","","Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.DYN.MORT.Q2","Quintile: Health","Under-5 mortality rate (per 1,000 live births): Q2","","Under-5 mortality rate: Number of deaths to children under age five years per 1000 live births, based on experience during the reference period before the survey. The reference period is ten years preceding the survey for DHS surveys, and the reference period varies for MICS surveys (often three to five years preceding the survey).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.DYN.MORT.Q3","Quintile: Health","Under-5 mortality rate (per 1,000 live births): Q3","","Under-5 mortality rate: Number of deaths to children under age five years per 1000 live births, based on experience during the reference period before the survey. The reference period is ten years preceding the survey for DHS surveys, and the reference period varies for MICS surveys (often three to five years preceding the survey).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.DYN.MORT.Q4","Quintile: Health","Under-5 mortality rate (per 1,000 live births): Q4","","Under-5 mortality rate: Number of deaths to children under age five years per 1000 live births, based on experience during the reference period before the survey. The reference period is ten years preceding the survey for DHS surveys, and the reference period varies for MICS surveys (often three to five years preceding the survey).","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.DYN.MORT.Q5","Quintile: Health","Under-5 mortality rate (per 1,000 live births): Q5 (highest)","","Under-5 mortality rate: Number of deaths to children under age five years per 1000 live births, based on experience during the reference period before the survey. The reference period is ten years preceding the survey for DHS surveys, and the reference period varies for MICS surveys (often three to five years preceding the survey).","","Annual","","","","","","Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.ACPT.Q1.ZS","Quintile: Health","Acceptability of media messages on family planning (% of women): Q1 (lowest)","Acceptability of media messages on family planning: Percentage of all women who believe that it is acceptable to have messages about family planning on the radio or television.","Acceptability of media messages on family planning: Percentage of all women who believe that it is acceptable to have messages about family planning on the radio or television.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.ACPT.Q2.ZS","Quintile: Health","Acceptability of media messages on family planning (% of women): Q2","","Acceptability of media messages on family planning: Percentage of all women who believe that it is acceptable to have messages about family planning on the radio or television.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.ACPT.Q3.ZS","Quintile: Health","Acceptability of media messages on family planning (% of women): Q3","","Acceptability of media messages on family planning: Percentage of all women who believe that it is acceptable to have messages about family planning on the radio or television.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.ACPT.Q4.ZS","Quintile: Health","Acceptability of media messages on family planning (% of women): Q4","","Acceptability of media messages on family planning: Percentage of all women who believe that it is acceptable to have messages about family planning on the radio or television.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.ACPT.Q5.ZS","Quintile: Health","Acceptability of media messages on family planning (% of women): Q5 (highest)","","Acceptability of media messages on family planning: Percentage of all women who believe that it is acceptable to have messages about family planning on the radio or television.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FBRT.Q1.ZS","Quintile: Health","Median age at first birth (women ages 25-49): Q1 (lowest)","","Median age at first birth: Median age at first birth among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FBRT.Q2.ZS","Quintile: Health","Median age at first birth (women ages 25-49): Q2","","Median age at first birth: Median age at first birth among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FBRT.Q3.ZS","Quintile: Health","Median age at first birth (women ages 25-49): Q3","","Median age at first birth: Median age at first birth among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FBRT.Q4.ZS","Quintile: Health","Median age at first birth (women ages 25-49): Q4","","Median age at first birth: Median age at first birth among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FBRT.Q5.ZS","Quintile: Health","Median age at first birth (women ages 25-49): Q5 (highest)","","Median age at first birth: Median age at first birth among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FMAR.Q1.ZS","Quintile: Health","Median age at first marriage (women ages 25-49): Q1 (lowest)","","Median age at first marriage: Median age at first marriage among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FMAR.Q2.ZS","Quintile: Health","Median age at first marriage (women ages 25-49): Q2","","Median age at first marriage: Median age at first marriage among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FMAR.Q3.ZS","Quintile: Health","Median age at first marriage (women ages 25-49): Q3","","Median age at first marriage: Median age at first marriage among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FMAR.Q4.ZS","Quintile: Health","Median age at first marriage (women ages 25-49): Q4","","Median age at first marriage: Median age at first marriage among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FMAR.Q5.ZS","Quintile: Health","Median age at first marriage (women ages 25-49): Q5 (highest)","","Median age at first marriage: Median age at first marriage among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FSEX.Q1.ZS","Quintile: Health","Median age at first sexual intercourse (women ages 25-49): Q1 (lowest)","","Median age at first sexual intercourse: Median age at first sexual intercourse among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FSEX.Q2.ZS","Quintile: Health","Median age at first sexual intercourse (women ages 25-49): Q2","","Median age at first sexual intercourse: Median age at first sexual intercourse among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FSEX.Q3.ZS","Quintile: Health","Median age at first sexual intercourse (women ages 25-49): Q3","","Median age at first sexual intercourse: Median age at first sexual intercourse among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FSEX.Q4.ZS","Quintile: Health","Median age at first sexual intercourse (women ages 25-49): Q4","","Median age at first sexual intercourse: Median age at first sexual intercourse among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.FSEX.Q5.ZS","Quintile: Health","Median age at first sexual intercourse (women ages 25-49): Q5 (highest)","","Median age at first sexual intercourse: Median age at first sexual intercourse among women aged 25-49 years.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.HEAR.Q1.ZS","Quintile: Health","Heard family planning on radio and television (% of women): Q1 (lowest)","","Heard family planning on radio and television: Percentage of all women who have heard a radio or television message about family planning in the last few months prior to the interview.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.HEAR.Q2.ZS","Quintile: Health","Heard family planning on radio and television (% of women): Q2","","Heard family planning on radio and television: Percentage of all women who have heard a radio or television message about family planning in the last few months prior to the interview.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.HEAR.Q3.ZS","Quintile: Health","Heard family planning on radio and television (% of women): Q3","","Heard family planning on radio and television: Percentage of all women who have heard a radio or television message about family planning in the last few months prior to the interview.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.HEAR.Q4.ZS","Quintile: Health","Heard family planning on radio and television (% of women): Q4","","Heard family planning on radio and television: Percentage of all women who have heard a radio or television message about family planning in the last few months prior to the interview.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.HEAR.Q5.ZS","Quintile: Health","Heard family planning on radio and television (% of women): Q5 (highest)","","Heard family planning on radio and television: Percentage of all women who have heard a radio or television message about family planning in the last few months prior to the interview.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.IDLC.Q1","Quintile: Health","Mean ideal number of children (per woman): Q1 (lowest)","","Mean ideal number of children: Mean ideal number of children for all women.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
"SH.FPL.IDLC.Q2","Quintile: Health","Mean ideal number of children (per woman): Q2","","Mean ideal number of children: Mean ideal number of children for all women.","","Annual","","","","","","","Household Surveys (DHS, MICS)","","","","","","Open",
